exp_theta (deg),exp_cs (mb/sr),exp_error (mb/sr),fit_theta (deg),fit_cs (mb/sr),r (fm),rho_Ch (e/fm3)
,,,87.31463,0.00002,,
,,,87.51503,0.00002,,
,,,87.71543,0.00001,,
,,,87.91583,0.00001,,
,,,88.11623,0.00001,,
,,,88.31663,0.00001,,
,,,88.51703,0.00001,,
,,,88.71743,0.00001,,
,,,88.91784,0.00001,,
,,,89.11824,0.00001,,
,,,89.31864,0.00001,,
,,,89.51904,0.00001,,
,,,89.71944,0.00001,,
,,,89.91984,0.00001,,
,,,90.12024,0.00001,,
,,,90.32064,0.00001,,
,,,90.52104,0.00001,,
,,,90.72144,0.00001,,
,,,90.92184,0.00001,,
,,,91.12224,0.00001,,
,,,91.32265,0.00001,,
,,,91.52305,0.00001,,
,,,91.72345,0.00000,,
,,,91.92385,0.00000,,
,,,92.12425,0.00000,,
,,,92.32465,0.00000,,
,,,92.52505,0.00000,,
,,,92.72545,0.00000,,
,,,92.92585,0.00000,,
,,,93.12625,0.00000,,
,,,93.32665,0.00000,,
,,,93.52705,0.00000,,
,,,93.72745,0.00000,,
,,,93.92786,0.00000,,
,,,94.12826,0.00000,,
,,,94.32866,0.00000,,
,,,94.52906,0.00000,,
,,,94.72946,0.00000,,
,,,94.92986,0.00000,,
,,,95.13026,0.00000,,
,,,95.33066,0.00000,,
,,,95.53106,0.00000,,
,,,95.73146,0.00000,,
,,,95.93186,0.00000,,
,,,96.13226,0.00000,,
,,,96.33267,0.00000,,
,,,96.53307,0.00000,,
,,,96.73347,0.00000,,
,,,96.93387,0.00000,,
,,,97.13427,0.00000,,
,,,97.33467,0.00000,,
,,,97.53507,0.00000,,
,,,97.73547,0.00000,,
,,,97.93587,0.00000,,
,,,98.13627,0.00000,,
,,,98.33667,0.00000,,
,,,98.53707,0.00000,,
,,,98.73747,0.00000,,
,,,98.93788,0.00000,,
,,,99.13828,0.00000,,
,,,99.33868,0.00000,,
,,,99.53908,0.00000,,
,,,99.73948,0.00000,,
,,,99.93988,0.00000,,
,,,100.14028,0.00000,,
,,,100.34068,0.00000,,
,,,100.54108,0.00000,,
,,,100.74148,0.00000,,
,,,100.94188,0.00000,,
,,,101.14228,0.00000,,
,,,101.34269,0.00000,,
,,,101.54309,0.00000,,
,,,101.74349,0.00000,,
,,,101.94389,0.00000,,
,,,102.14429,0.00000,,
,,,102.34469,0.00000,,
,,,102.54509,0.00000,,
,,,102.74549,0.00000,,
,,,102.94589,0.00000,,
,,,103.14629,0.00000,,
,,,103.34669,0.00000,,
,,,103.54709,0.00000,,
,,,103.74749,0.00000,,
,,,103.94790,0.00000,,
,,,104.14830,0.00000,,
,,,104.34870,0.00000,,
,,,104.54910,0.00000,,
,,,104.74950,0.00000,,
,,,104.94990,0.00000,,
,,,105.15030,0.00000,,
,,,105.35070,0.00000,,
,,,105.55110,0.00000,,
,,,105.75150,0.00000,,
,,,105.95190,0.00000,,
,,,106.15230,0.00000,,
,,,106.35271,0.00000,,
,,,106.55311,0.00000,,
,,,106.75351,0.00000,,
,,,106.95391,0.00000,,
,,,107.15431,0.00000,,
,,,107.35471,0.00000,,
,,,107.55511,0.00000,,
,,,107.75551,0.00000,,
,,,107.95591,0.00000,,
,,,108.15631,0.00000,,
,,,108.35671,0.00000,,
,,,108.55711,0.00000,,
,,,108.75752,0.00000,,
,,,108.95792,0.00000,,
,,,109.15832,0.00000,,
,,,109.35872,0.00000,,
,,,109.55912,0.00000,,
,,,109.75952,0.00000,,
,,,109.95992,0.00000,,
,,,110.16032,0.00000,,
,,,110.36072,0.00000,,
,,,110.56112,0.00000,,
,,,110.76152,0.00000,,
,,,110.96192,0.00000,,
,,,111.16232,0.00000,,
,,,111.36273,0.00000,,
,,,111.56313,0.00000,,
,,,111.76353,0.00000,,
,,,111.96393,0.00000,,
,,,112.16433,0.00000,,
,,,112.36473,0.00000,,
,,,112.56513,0.00000,,
,,,112.76553,0.00000,,
,,,112.96593,0.00000,,
,,,113.16633,0.00000,,
,,,113.36673,0.00000,,
,,,113.56713,0.00000,,
,,,113.76754,0.00000,,
,,,113.96794,0.00000,,
,,,114.16834,0.00000,,
,,,114.36874,0.00000,,
,,,114.56914,0.00000,,
,,,114.76954,0.00000,,
,,,114.96994,0.00000,,
,,,115.17034,0.00000,,
,,,115.37074,0.00000,,
,,,115.57114,0.00000,,
,,,115.77154,0.00000,,
,,,115.97194,0.00000,,
,,,116.17234,0.00000,,
,,,116.37275,0.00000,,
,,,116.57315,0.00000,,
,,,116.77355,0.00000,,
,,,116.97395,0.00000,,
,,,117.17435,0.00000,,
,,,117.37475,0.00000,,
,,,117.57515,0.00000,,
,,,117.77555,0.00000,,
,,,117.97595,0.00000,,
,,,118.17635,0.00000,,
,,,118.37675,0.00000,,
,,,118.57715,0.00000,,
,,,118.77756,0.00000,,
,,,118.97796,0.00000,,
,,,119.17836,0.00000,,
,,,119.37876,0.00000,,
,,,119.57916,0.00000,,
,,,119.77956,0.00000,,
,,,119.97996,0.00000,,
,,,120.18036,0.00000,,
,,,120.38076,0.00000,,
,,,120.58116,0.00000,,
,,,120.78156,0.00000,,
,,,120.98196,0.00000,,
,,,121.18236,0.00000,,
,,,121.38277,0.00000,,
,,,121.58317,0.00000,,
,,,121.78357,0.00000,,
,,,121.98397,0.00000,,
,,,122.18437,0.00000,,
,,,122.38477,0.00000,,
,,,122.58517,0.00000,,
,,,122.78557,0.00000,,
,,,122.98597,0.00000,,
,,,123.18637,0.00000,,
,,,123.38677,0.00000,,
,,,123.58717,0.00000,,
,,,123.78758,0.00000,,
,,,123.98798,0.00000,,
,,,124.18838,0.00000,,
,,,124.38878,0.00000,,
,,,124.58918,0.00000,,
,,,124.78958,0.00000,,
,,,124.98998,0.00000,,
,,,125.19038,0.00000,,
,,,125.39078,0.00000,,
,,,125.59118,0.00000,,
,,,125.79158,0.00000,,
,,,125.99198,0.00000,,
,,,126.19238,0.00000,,
,,,126.39279,0.00000,,
,,,126.59319,0.00000,,
,,,126.79359,0.00000,,
,,,126.99399,0.00000,,
,,,127.19439,0.00000,,
,,,127.39479,0.00000,,
,,,127.59519,0.00000,,
,,,127.79559,0.00000,,
,,,127.99599,0.00000,,
,,,128.19639,0.00000,,
,,,128.39679,0.00000,,
,,,128.59719,0.00000,,
,,,128.79760,0.00000,,
,,,128.99800,0.00000,,
,,,129.19840,0.00000,,
,,,129.39880,0.00000,,
,,,129.59920,0.00000,,
,,,129.79960,0.00000,,
,,,130.00000,0.00000,,
